subj_nr	sent_nr	word_pos	item	RTfirstpass	prevfix	reject_data	word	log_freq	nr_char	reject_word
38	149	3	14903	188	true	false	have	-13.3949	4	false
38	149	4	14904	152	true	false	been	-12.2027	4	false
38	149	5	14905	192	true	false	racing	-7.5984	6	false
38	149	6	14906	0	true	true	my	-12.6174	2	false
38	149	7	14907	216	false	false	truck	-7.1701	5	false
38	149	8	14908	0	true	true	in	-14.0752	2	false
38	149	9	14909	180	false	false	the	-15.2505	3	false
38	149	10	14910	192	true	false	first	-11.5542	5	false
38	149	11	14911	132	true	false	place.		6	true
38	150	1	15001	0	true	true	A	-14.4505	1	true
38	150	2	15002	316	false	false	smile	-8.1351	5	false
38	150	3	15003	192	true	false	came	-10.1778	4	false
38	150	4	15004	0	true	true	to	-14.774	2	false
38	150	5	15005	224	false	false	his	-11.844	3	false
38	150	6	15006	192	true	false	lips	-6.5497	4	false
38	150	7	15007	0	true	true	as	-13.0774	2	false
38	150	8	15008	224	false	false	he	-12.7513	2	false
38	150	9	15009	160	true	false	thought	-10.6633	7	false
38	150	10	15010	0	true	true	of	-14.3992	2	false
38	150	11	15011	0	false	true	an	-12.4722	2	false
38	150	12	15012	336	false	false	idea.		5	true
38	151	1	15101	0	true	true	All	-12.7244	3	true
38	151	2	15102	252	false	false	last	-11.1062	4	false
38	151	3	15103	164	true	false	week	-10.5802	4	false
38	151	4	15104	244	true	false	there	-12.7422	5	false
38	151	5	15105	0	true	true	was	-13.1952	3	false
38	151	6	15106	0	false	true	a	-14.4505	1	false
38	151	7	15107	180	false	false	white	-9.4694	5	false
38	151	8	15108	0	true	true	van	-8.0784	3	false
38	151	9	15109	552	false	false	parked	-7.0959	6	false
38	151	10	15110	224	true	false	across	-9.9495	6	false
38	151	11	15111	0	true	true	the	-15.2505	3	false
38	151	12	15112	196	false	false	street.		7	true
38	152	1	15201	0	true	true	Finally	-9.4398	7	true
38	152	2	15202	256	false	false	Maria	-6.1675	5	false
38	152	3	15203	0	true	true	sat	-8.3236	3	false
38	152	4	15204	184	false	false	down	-11.0167	4	false
38	152	5	15205	208	true	false	with	-13.2011	4	false
38	152	6	15206	0	true	true	a	-14.4505	1	false
38	152	7	15207	200	false	false	cup	-8.3722	3	false
38	152	8	15208	0	true	true	of	-14.3992	2	false
38	152	9	15209	0	false	true	tea	-8.404	3	false
38	152	10	15210	240	false	false	and	-14.4566	3	false
38	152	11	15211	0	true	true	a	-14.4505	1	false
38	152	12	15212	428	false	false	sandwich.		9	true
38	154	1	15401	0	true	true	He	-12.7513	2	true
38	154	2	15402	384	false	false	didn't		6	true
38	154	3	15403	176	true	false	seem	-9.9306	4	false
38	154	4	15404	0	true	true	to	-14.774	2	false
38	154	5	15405	240	false	false	mind	-10.1283	4	false
38	154	6	15406	0	true	true	that	-13.9227	4	false
38	154	7	15407	192	false	false	she	-11.8451	3	false
