rnntype	fit	se	x
LSTM	139.8941356835202	4.2032332	-5.557258
LSTM	141.86734124992645	4.1688895	-5.5296845
LSTM	143.7310268578366	4.160833	-5.502111
LSTM	145.49414178703583	4.179553	-5.4745374
LSTM	147.1656658348874	4.2209196	-5.4469633
LSTM	148.75454065178192	4.276901	-5.4193897
LSTM	150.26973077629364	4.3368344	-5.391816
LSTM	151.72020074699677	4.3889337	-5.3642426
LSTM	153.11490747307099	4.4218	-5.3366685
LSTM	154.46280786369599	4.425934	-5.309095
LSTM	155.77286645744599	4.395432	-5.2815213
LSTM	157.05416223381317	4.3310995	-5.2539477
LSTM	158.31638452385224	4.2471642	-5.2263737
LSTM	159.56868097160614	4.1655273	-5.1988
LSTM	160.81977960441864	4.1045756	-5.1712265
LSTM	162.07843133781708	4.073272	-5.143653
LSTM	163.3533413109616	4.068691	-5.116079
LSTM	164.65326043937958	4.076487	-5.0885053
LSTM	165.98691675041474	4.0741606	-5.0609317
LSTM	167.3630306420163	4.035917	-5.0333576
LSTM	168.79034540031708	3.9382524	-5.005784
LSTM	170.2775814232663	3.7669396	-4.9782104
LSTM	171.8333904442624	3.5288255	-4.950637
LSTM	173.46277734611786	3.2805233	-4.923063
LSTM	175.1581737694577	3.1625981	-4.895489
LSTM	176.9025356468991	3.3412945	-4.8679156
LSTM	178.67620965812958	3.8713322	-4.840342
LSTM	180.46081659172333	4.6680536	-4.812768
